track_id,track_name,track_artist_name,track_popularity,track_lyrics
3LWDPEXEaLBRGNLbdcbwBR,Mr. Saxobeat - Radio Edit,Alexandra Stan,71,
2oENJa1T33GJ0w8dC167G4,Fire Burning,Sean Kingston,71,
72jbDTw1piOOj770jWNeaG,Paris,The Chainsmokers,71,
3hWfKBt3n7j1xqIy6LA5ve,Astronomia,Vicetone,71,
5v4GgrXPMghOnBBLmveLac,Savage Remix (feat. Beyoncé),Beyoncé,71,
3rfhI32Il2hVRKDkuGeeen,Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,71,
0WdbnNKO0Jt4BZACSDQh44,"Ghungroo (From ""War"")",Arijit Singh,70,
0MOiv7WTXCqvm89lVCf9C8,Million Voices - Radio Edit,Otto Knows,70,
57jOEZtoLQK4zF2x55bdkp,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak Kohli,70,
4as4XEOR03oGm1STUKl6pa,BBIBBI,IU,70,
1m84zLz4WizjR4mCDoXReg,I Don't Care - Acoustic,Ed Sheeran,70,
4bD9z9qa4qg9BhryvYWB7c,Kabira,Pritam,69,
4P7VFiaZb3xrXoqGwZXC3J,Lollipop,Lil Wayne,69,
0U6bQIAh6MCGo1xjbIIx2S,Instagram,Dimitri Vegas & Like Mike,69,
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,69,
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,69,
4xmkpE1Si5JL7NFxWrhV0S,"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon,69,
6b3b7lILUJqXcp6w9wNQSm,Cheap Thrills (feat. Sean Paul),Sia,69,
5RzFJd6W40SDTyZkX6xx45,I Know You Want Me (Calle Ocho),Pitbull,69,
7LcfRTgAVTs5pQGEQgUEzN,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,69,
70ludZZEUJy1aFVkPI0Kpi,Drop It Like It's Hot,Snoop Dogg,69,
43GfQ1SC17rBWiHkOtdwK8,Jab Koi Baat - Recreated,Atif Aslam,69,
3rLIv187BhjyweFe89SgLn,Somebody To Love,Justin Bieber,69,
6q9XTgfWilsnyiFofvYrIF,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,68,
6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,Darude,68,
70Vdd1gx5tn84jkAU31ASv,Sexy And I Know It,LMFAO,68,
07K4GcCDSTiXUF5ssyTRUM,The Sweet Escape,Gwen Stefani,68,
7eQl3Yqv35ioqUfveKHitE,Tum Se Hi,Pritam,68,
6btyEL6NwUa97Nex9cZFvo,Pump It,Black Eyed Peas,68,
3ZVKI8jix6PjEFx2xFBFhz,"BurjKhalifa (From ""Laxmii"")",Shashi,68,
1sh6lL6cmlcwhqZKGiKBua,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,68,
32LKwbmh6yVsWoRRF8DIvf,Na Ja,Pav Dharia,68,
2ndnVdR8si7CW9T8vJRHyW,Move Ya Body,Nina Sky,68,
2rgtCOVK2tpfao2VjURn84,Lovers on the Sun (feat. Sam Martin),David Guetta,68,
2cZrrQMjB63c0iIugYH9zS,Rain Over Me (feat. Marc Anthony),Pitbull,68,
5d6Mjuu2uCGRPYpFjGpCX5,Sugar,Maroon 5,67,
6R0GRYk2vs2XuBVemYK5YZ,Ultimate,Denzel Curry,67,
25MPTnqXQB1H6OkwSYUXWx,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,67,
1O5mTSQa0sCce9ghhDqIZl,Jashn-E-Bahaaraa,A.R. Rahman,67,
20efeySIfZoiSaISGLBbNs,Thriller - Single Version,Michael Jackson,67,
1We89SAonMk70QBbfXERxa,Nazm Nazm,Arko,67,
4iFPsNzNV7V9KJgcOX7TEO,Tu Jaane Na,Atif Aslam,67,
6RnkFd8Fqqgk1Uni8RgqCQ,Like I Do,David Guetta,67,
1orM67pmkNc4alrZkWjYkV,Naach Meri Rani,Guru Randhawa,67,
5d6Mjuu2uCGRPYpFjGpCX5,Sugar,Maroon 5,67,
39ujbBjTwwqUFySaCYDMMT,Proper Patola,Badshah,67,
3ZjMdVOWxQ53FKrmkgCv95,"Psycho Saiyaan (From ""Saaho"")",Sachet Tandon,67,
1hQia6rxgfM1ly2hE3StWp,Ishq Wala Love,Vishal-Shekhar,67,
3y7ByLZ05tluscOTRgEJ9Y,Palette (feat. G-DRAGON),IU,66,
5bZeugrr7oIATt1CLJuhT4,Incredible,James TW,66,
35P2Xal9x3GAdOHytyEUFe,Phir Bhi Tumko Chaahunga,Mithoon,66,
6KOEK6SeCEZOQkLj5M1PxH,California Gurls,Katy Perry,66,
6bdpj89aYEBjhpsenXAsmO,Enna Sona,A.R. Rahman,66,
