track_id,track_name,track_artist_name,track_popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2cc8Sw1OnCuA5bV8nqWqpE,You,Regard,80,0.0592,https://api.spotify.com/v1/audio-analysis/2cc8Sw1OnCuA5bV8nqWqpE,0.691,233386.0,0.695,0.0,0.0,0.0647,-5.6,1.0,0.0367,106.064,4.0,https://api.spotify.com/v1/tracks/2cc8Sw1OnCuA5bV8nqWqpE,audio_features,spotify:track:2cc8Sw1OnCuA5bV8nqWqpE,0.514
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),Daniel Caesar,79,0.422,https://api.spotify.com/v1/audio-analysis/7zFXmv6vqI4qOt4yGf3jYZ,0.658,278180.0,0.294,5.2e-05,4.0,0.0749,-8.533,0.0,0.0321,74.038,4.0,https://api.spotify.com/v1/tracks/7zFXmv6vqI4qOt4yGf3jYZ,audio_features,spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,0.358
1lhm29o3syw122xynSKaAK,Love Me Like That,Sam Kim,79,0.854,https://api.spotify.com/v1/audio-analysis/1lhm29o3syw122xynSKaAK,0.59,211364.0,0.294,0.0,9.0,0.0873,-8.125,1.0,0.0654,87.895,4.0,https://api.spotify.com/v1/tracks/1lhm29o3syw122xynSKaAK,audio_features,spotify:track:1lhm29o3syw122xynSKaAK,0.461
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,Calvin Harris,79,0.000972,https://api.spotify.com/v1/audio-analysis/1gihuPhrLraKYrJMAEONyc,0.707,206413.0,0.924,0.00703,7.0,0.204,-2.842,1.0,0.031,127.937,4.0,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,audio_features,spotify:track:1gihuPhrLraKYrJMAEONyc,0.919
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,79,0.0114,https://api.spotify.com/v1/audio-analysis/20I6sIOMTCkB6w7ryavxtO,0.783,193400.0,0.58,2.28e-06,7.0,0.108,-6.548,1.0,0.0408,120.021,4.0,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,audio_features,spotify:track:20I6sIOMTCkB6w7ryavxtO,0.66
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,Miley Cyrus,79,0.00112,https://api.spotify.com/v1/audio-analysis/3E7dfMvvCLUddWissuqMwr,0.652,202067.0,0.698,0.000115,10.0,0.0886,-4.667,0.0,0.042,96.021,4.0,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr,audio_features,spotify:track:3E7dfMvvCLUddWissuqMwr,0.47
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,Swedish House Mafia,79,0.112,https://api.spotify.com/v1/audio-analysis/2V65y3PX4DkRhy1djlxd9p,0.612,212862.0,0.84,0.0,11.0,0.116,-3.145,0.0,0.0509,129.042,4.0,https://api.spotify.com/v1/tracks/2V65y3PX4DkRhy1djlxd9p,audio_features,spotify:track:2V65y3PX4DkRhy1djlxd9p,0.438
7xapw9Oy21WpfEcib2ErSA,Mistletoe,Justin Bieber,79,0.498,https://api.spotify.com/v1/audio-analysis/7xapw9Oy21WpfEcib2ErSA,0.657,182947.0,0.56,0.0,6.0,0.0794,-9.049,0.0,0.0467,161.993,4.0,https://api.spotify.com/v1/tracks/7xapw9Oy21WpfEcib2ErSA,audio_features,spotify:track:7xapw9Oy21WpfEcib2ErSA,0.854
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,79,0.0338,https://api.spotify.com/v1/audio-analysis/4356Typ82hUiFAynbLYbPn,0.663,220800.0,0.861,0.0,7.0,0.082,-3.398,0.0,0.109,119.963,4.0,https://api.spotify.com/v1/tracks/4356Typ82hUiFAynbLYbPn,audio_features,spotify:track:4356Typ82hUiFAynbLYbPn,0.654
1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,78,0.0012,https://api.spotify.com/v1/audio-analysis/1XXimziG1uhM0eDNCZCrUl,0.868,156945.0,0.795,0.0193,11.0,0.0461,-6.044,1.0,0.269,166.0,4.0,https://api.spotify.com/v1/tracks/1XXimziG1uhM0eDNCZCrUl,audio_features,spotify:track:1XXimziG1uhM0eDNCZCrUl,0.819
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),Justin Timberlake,78,0.0584,https://api.spotify.com/v1/audio-analysis/0O45fw2L5vsWpdsOdXwNAR,0.967,242733.0,0.583,0.0,7.0,0.0519,-5.562,0.0,0.0789,117.0,4.0,https://api.spotify.com/v1/tracks/0O45fw2L5vsWpdsOdXwNAR,audio_features,spotify:track:0O45fw2L5vsWpdsOdXwNAR,0.964
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),Bad Bunny,78,0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368.0,0.539,0.000496,6.0,0.099,-6.349,0.0,0.0621,97.062,4.0,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158
2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,78,0.0426,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,0.794,248413.0,0.811,1.07e-06,6.0,0.101,-8.966,0.0,0.038,116.047,4.0,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,audio_features,spotify:track:2Foc5Q5nqNiosCNqttzHof,0.862
0k2GOhqsrxDTAbFFSdNJjT,Temperature,Sean Paul,78,0.106,https://api.spotify.com/v1/audio-analysis/0k2GOhqsrxDTAbFFSdNJjT,0.951,218573.0,0.6,0.0,0.0,0.0712,-4.675,0.0,0.0685,125.04,4.0,https://api.spotify.com/v1/tracks/0k2GOhqsrxDTAbFFSdNJjT,audio_features,spotify:track:0k2GOhqsrxDTAbFFSdNJjT,0.822
3bC1ahPIYt1btJzSSEyyrF,Whistle,Flo Rida,78,0.0208,https://api.spotify.com/v1/audio-analysis/3bC1ahPIYt1btJzSSEyyrF,0.747,224653.0,0.937,0.0,0.0,0.29,-5.746,1.0,0.0453,103.976,4.0,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,audio_features,spotify:track:3bC1ahPIYt1btJzSSEyyrF,0.739
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna,78,0.0336,https://api.spotify.com/v1/audio-analysis/0ByMNEPAPpOR5H69DVrTNy,0.835,267080.0,0.669,6.92e-05,6.0,0.0535,-5.582,0.0,0.0643,122.668,4.0,https://api.spotify.com/v1/tracks/0ByMNEPAPpOR5H69DVrTNy,audio_features,spotify:track:0ByMNEPAPpOR5H69DVrTNy,0.542
2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal - 2012 Remaster,Michael Jackson,78,0.247,https://api.spotify.com/v1/audio-analysis/2bCQHF9gdG5BNDVuEIEnNk,0.853,257760.0,0.981,0.468,8.0,0.306,-3.947,1.0,0.0751,118.193,4.0,https://api.spotify.com/v1/tracks/2bCQHF9gdG5BNDVuEIEnNk,audio_features,spotify:track:2bCQHF9gdG5BNDVuEIEnNk,0.595
2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,will.i.am,78,0.019,https://api.spotify.com/v1/audio-analysis/2iJuuzV8P9Yz0VSurttIV5,0.772,283400.0,0.685,8.96e-05,5.0,0.131,-6.849,1.0,0.0696,130.033,4.0,https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5,audio_features,spotify:track:2iJuuzV8P9Yz0VSurttIV5,0.501
2afCBiru10AFckfOa49wIa,You & I,One Direction,77,0.22,https://api.spotify.com/v1/audio-analysis/2afCBiru10AFckfOa49wIa,0.574,237933.0,0.329,0.0,1.0,0.0986,-6.829,1.0,0.0274,130.993,4.0,https://api.spotify.com/v1/tracks/2afCBiru10AFckfOa49wIa,audio_features,spotify:track:2afCBiru10AFckfOa49wIa,0.356
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,Don Omar,77,0.0846,https://api.spotify.com/v1/audio-analysis/2a1o6ZejUi8U3wzzOtCOYw,0.4,198773.0,0.915,0.0,0.0,0.0503,-4.89,1.0,0.28,88.917,3.0,https://api.spotify.com/v1/tracks/2a1o6ZejUi8U3wzzOtCOYw,audio_features,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,0.878
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,77,0.157,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,0.842,212500.0,0.801,4.82e-06,8.0,0.0642,-4.167,0.0,0.228,95.881,4.0,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,audio_features,spotify:track:4w8niZpiMy6qz1mntFA5uM,0.617
51Fjme0JiitpyXKuyQiCDo,Lalala,Y2K,77,0.178,https://api.spotify.com/v1/audio-analysis/51Fjme0JiitpyXKuyQiCDo,0.843,160627.0,0.39,0.0,2.0,0.137,-7.899,1.0,0.0846,129.972,4.0,https://api.spotify.com/v1/tracks/51Fjme0JiitpyXKuyQiCDo,audio_features,spotify:track:51Fjme0JiitpyXKuyQiCDo,0.495
0VwNdo84DaVYLIkbVO86ND,We Are Never Ever Getting Back Together,Taylor Swift,77,0.00957,https://api.spotify.com/v1/audio-analysis/0VwNdo84DaVYLIkbVO86ND,0.628,193147.0,0.676,2.65e-05,7.0,0.121,-5.911,1.0,0.0916,85.984,4.0,https://api.spotify.com/v1/tracks/0VwNdo84DaVYLIkbVO86ND,audio_features,spotify:track:0VwNdo84DaVYLIkbVO86ND,0.75
5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit,Avicii,77,0.0462,https://api.spotify.com/v1/audio-analysis/5UqCQaDshqbIk3pkhy4Pjg,0.584,199907.0,0.889,0.828,1.0,0.309,-5.941,0.0,0.0343,126.04,4.0,https://api.spotify.com/v1/tracks/5UqCQaDshqbIk3pkhy4Pjg,audio_features,spotify:track:5UqCQaDshqbIk3pkhy4Pjg,0.464
2q4rjDy9WhaN3o9MvDbO21,Kiss Me Thru The Phone,Soulja Boy,77,0.0185,https://api.spotify.com/v1/audio-analysis/2q4rjDy9WhaN3o9MvDbO21,0.758,193387.0,0.712,0.0,7.0,0.0677,-3.781,1.0,0.112,149.998,4.0,https://api.spotify.com/v1/tracks/2q4rjDy9WhaN3o9MvDbO21,audio_features,spotify:track:2q4rjDy9WhaN3o9MvDbO21,0.795
0t1kP63rueHleOhQkYSXFY,Dynamite,BTS,76,0.0112,https://api.spotify.com/v1/audio-analysis/0t1kP63rueHleOhQkYSXFY,0.746,199054.0,0.765,0.0,6.0,0.0936,-4.41,0.0,0.0993,114.044,4.0,https://api.spotify.com/v1/tracks/0t1kP63rueHleOhQkYSXFY,audio_features,spotify:track:0t1kP63rueHleOhQkYSXFY,0.737
285HeuLxsngjFn4GGegGNm,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,76,0.24,https://api.spotify.com/v1/audio-analysis/285HeuLxsngjFn4GGegGNm,0.596,192560.0,0.73,0.0,9.0,0.325,-4.091,1.0,0.151,85.979,4.0,https://api.spotify.com/v1/tracks/285HeuLxsngjFn4GGegGNm,audio_features,spotify:track:285HeuLxsngjFn4GGegGNm,0.525
22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,Calvin Harris,76,0.0392,https://api.spotify.com/v1/audio-analysis/22mek4IiqubGD9ctzxc69s,0.738,212640.0,0.868,0.00169,11.0,0.388,-4.373,0.0,0.0731,122.003,4.0,https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s,audio_features,spotify:track:22mek4IiqubGD9ctzxc69s,0.336
5xYC48nOppVemY6U5GRGTb,Memories (feat. Kid Cudi),David Guetta,76,0.00144,https://api.spotify.com/v1/audio-analysis/5xYC48nOppVemY6U5GRGTb,0.546,210853.0,0.916,4.34e-06,8.0,0.251,-3.932,1.0,0.255,129.983,4.0,https://api.spotify.com/v1/tracks/5xYC48nOppVemY6U5GRGTb,audio_features,spotify:track:5xYC48nOppVemY6U5GRGTb,0.375
46eu3SBuFCXWsPT39Yg3tJ,Don't Stop 'Til You Get Enough,Michael Jackson,76,0.126,https://api.spotify.com/v1/audio-analysis/46eu3SBuFCXWsPT39Yg3tJ,0.878,365467.0,0.821,0.0461,11.0,0.183,-9.875,1.0,0.089,118.881,4.0,https://api.spotify.com/v1/tracks/46eu3SBuFCXWsPT39Yg3tJ,audio_features,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,0.947
4vVTI94F9uJ8lHNDWKv0i2,Eenie Meenie,Sean Kingston,76,0.0543,https://api.spotify.com/v1/audio-analysis/4vVTI94F9uJ8lHNDWKv0i2,0.72,201947.0,0.607,0.0,1.0,0.113,-4.168,1.0,0.0322,121.223,4.0,https://api.spotify.com/v1/tracks/4vVTI94F9uJ8lHNDWKv0i2,audio_features,spotify:track:4vVTI94F9uJ8lHNDWKv0i2,0.828
4n7jnSxVLd8QioibtTDBDq,On My Way,Alan Walker,76,0.0209,https://api.spotify.com/v1/audio-analysis/4n7jnSxVLd8QioibtTDBDq,0.509,193798.0,0.689,0.0,1.0,0.301,-4.929,0.0,0.102,170.087,4.0,https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq,audio_features,spotify:track:4n7jnSxVLd8QioibtTDBDq,0.297
66TRwr5uJwPt15mfFkzhbi,Crank That (Soulja Boy),Soulja Boy,76,0.515,https://api.spotify.com/v1/audio-analysis/66TRwr5uJwPt15mfFkzhbi,0.736,221933.0,0.74,0.0,0.0,0.0468,-2.18,1.0,0.0786,140.141,4.0,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi,audio_features,spotify:track:66TRwr5uJwPt15mfFkzhbi,0.803
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,76,0.406,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,0.72,251088.0,0.763,0.0,9.0,0.18,-4.068,0.0,0.0523,101.965,4.0,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,audio_features,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.742
2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,Flo Rida,76,0.0588,https://api.spotify.com/v1/audio-analysis/2LEF1A8DOZ9wRYikWgVlZ8,0.706,248133.0,0.89,0.00286,1.0,0.306,-4.444,0.0,0.0688,128.011,4.0,https://api.spotify.com/v1/tracks/2LEF1A8DOZ9wRYikWgVlZ8,audio_features,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,0.684
3qKGvSu1inEZKwYQnMavNA,Smack That,Akon,76,0.317,https://api.spotify.com/v1/audio-analysis/3qKGvSu1inEZKwYQnMavNA,0.94,212360.0,0.743,0.0,5.0,0.0909,-5.166,0.0,0.0475,118.988,4.0,https://api.spotify.com/v1/tracks/3qKGvSu1inEZKwYQnMavNA,audio_features,spotify:track:3qKGvSu1inEZKwYQnMavNA,0.932
